7	24	24	24	24	24	22	24	24	24	20	20	24	24	24	20	20	20	20	20	20	20	20	20	20	20	20	24	24	20	20	20	20	24	24	22	20	24	24	24	24	24	24	24	24	24	24	24	24	10	20	20	20	20	20	20	20	20	28	9	9	9	28	28	9	9	9	9	9	9	16	16	16	16	9	9	9	9	19	22	19	19	19	19	19	22	22	22	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	16	3	3	24	32	24	24	29	32	22	16	26	16	22	22	24	32	32	16	32	24	24	22	
22	22	22	11	11	11	20	20	20	20	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	20	20	22	22	20	20	24	28	28	20	28	24	24	24	24	24	20	20	20	20	20	20	20	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	20	20	28	28	28	28	20	20	20	28	28	28	28	22	22	22	22	22	24	24	22	22	22	22	22	24	24	24	24	24	24	22	24	24	24	24	22	24	24	24	24	24	24	24	24	24	24	22	22	22	22	22	22	24	22	24	24	
8	8	24	24	1	4	7	14	24	20	20	32	28	32	32	22	22	28	22	28	28	28	28	28	28	28	28	28	28	28	20	28	28	22	22	20	20	20	20	22	28	28	22	22	22	24	24	20	20	20	20	19	19	20	20	28	28	28	28	28	28	9	9	9	9	28	28	28	28	28	28	28	28	19	19	19	19	19	19	22	22	22	22	22	24	24	22	22	22	22	24	24	22	22	22	24	24	22	22	22	24	22	22	22	24	24	24	24	24	22	22	24	24	24	22	22	24	24	24	24	24	24	24	24	24	24	24	24	24	24	
11	10	12	12	24	22	22	24	24	10	10	10	28	28	28	28	28	28	28	28	28	28	28	28	28	28	20	28	28	28	20	20	20	20	20	20	20	20	28	20	20	20	20	20	20	20	20	20	28	28	28	28	28	28	9	9	9	9	9	9	9	9	9	28	28	28	28	28	19	19	19	19	19	19	19	19	19	19	28	19	28	22	22	22	22	22	22	28	28	28	22	22	22	22	24	24	22	22	24	22	22	22	22	22	22	22	22	22	22	24	24	24	24	24	22	22	24	24	24	22	22	24	24	12	24	24	24	24	24	12	
11	11	11	20	20	20	20	20	28	32	24	20	20	28	28	22	28	28	28	28	28	28	28	28	20	20	28	28	20	22	22	28	22	22	22	22	22	22	22	22	20	24	24	22	22	22	20	20	20	20	9	9	20	28	28	28	28	28	28	28	28	9	9	9	9	9	9	9	28	28	28	28	28	19	19	19	19	19	19	19	19	20	19	22	9	22	22	22	28	22	22	22	24	24	22	22	22	22	22	24	24	24	22	24	24	24	22	22	22	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	
14	14	14	20	20	28	32	24	24	28	28	28	28	28	28	28	28	28	28	28	28	28	28	20	20	20	20	24	24	28	28	22	22	22	24	24	24	22	24	24	24	24	24	24	22	24	20	20	20	20	20	20	20	28	28	28	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	19	19	19	19	19	28	9	9	9	9	16	24	19	24	24	22	22	22	22	24	24	24	24	24	24	24	24	24	24	24	24	22	22	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	12	24	24	24	24	24	24	
24	24	24	24	24	12	11	19	19	20	20	20	22	28	28	24	28	28	28	28	28	28	28	28	28	28	28	28	28	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	22	24	24	20	20	20	9	20	20	20	20	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	19	19	19	22	22	28	28	28	28	28	28	28	28	22	22	20	20	19	29	28	28	22	22	22	22	32	32	32	32	32	24	24	24	24	24	24	22	22	24	24	24	24	32	24	
13	13	10	20	20	20	24	24	28	28	24	28	28	28	28	28	28	28	28	28	28	28	28	28	28	20	20	20	28	28	20	20	28	32	24	24	24	32	22	22	22	32	32	24	24	22	22	20	20	20	20	25	20	20	20	28	28	28	28	28	28	9	9	9	9	9	9	9	28	28	28	28	9	9	28	28	28	28	28	28	28	28	19	19	19	19	28	22	22	28	22	22	24	20	20	19	19	19	20	24	24	24	24	22	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	
1	11	12	24	24	24	22	24	28	28	12	16	32	24	22	28	28	28	28	28	28	28	28	20	20	20	20	20	20	24	22	20	20	20	24	24	20	24	24	24	24	24	24	24	24	20	32	1	1	18	20	20	20	28	28	28	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	28	28	28	20	20	20	19	20	20	19	20	22	22	22	22	22	20	20	22	20	20	19	22	22	22	22	22	22	22	22	22	22	24	24	24	24	24	24	24	24	24	24	22	22	22	24	24	24	24	24	24	24	24	24	24	
11	10	10	24	24	24	24	24	24	10	24	24	24	24	28	28	28	28	28	28	28	28	28	9	20	20	20	20	28	24	20	24	20	20	24	22	20	20	20	20	22	22	20	20	24	20	20	25	30	18	17	20	20	20	20	28	28	28	28	28	9	9	9	9	9	9	9	9	9	9	28	28	28	28	28	28	28	28	28	28	19	19	19	19	19	19	22	22	19	28	28	22	22	28	22	22	22	22	22	22	22	24	24	24	22	22	24	24	24	22	22	22	22	22	22	24	24	22	22	22	24	20	20	20	24	24	24	24	24	24	
1	14	14	24	24	22	22	28	24	24	24	22	22	28	28	28	28	28	28	28	28	20	20	20	20	20	20	20	22	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24	22	22	20	20	20	25	25	25	30	30	20	20	28	28	28	28	28	9	9	9	9	9	9	9	28	28	28	28	28	9	9	28	28	28	28	28	28	28	28	19	19	19	19	22	22	24	22	22	24	22	28	28	19	19	22	24	24	22	22	22	24	22	22	22	22	24	24	24	24	24	22	24	24	24	24	24	24	24	24	24	24	24	24	24	22	
7	7	24	24	24	24	24	24	24	24	24	28	22	28	28	28	28	28	28	28	28	28	28	28	28	20	20	28	22	22	20	28	20	20	20	22	24	32	28	20	20	32	24	24	20	20	20	20	25	20	20	20	28	28	28	28	28	28	28	9	9	9	9	9	9	9	28	9	9	9	28	28	28	28	28	28	28	19	19	19	19	22	22	28	28	22	22	22	19	22	22	22	19	22	22	16	16	22	32	32	32	24	24	24	22	22	24	24	24	24	24	24	22	22	24	24	22	22	22	22	24	24	24	24	24	24	24	12	12	12	
