12	12	9	9	9	9	9	9	9	9	10	9	9	9	10	10	10	10	10	9	12	12	12	12	12	12	12	12	12	12	22	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	24	24	12	12	9	9	9	9	9	9	9	9	10	9	9	12	12	9	9	9	9	9	9	9	9	9	9	9	12	12	12	12	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	22	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	13	15	15	15	13	12	12	24	12	12	12	12	15	8	24	12	12	12	12	12	12	24	24	24	24	24	12	12	12	12	12	12	12	24	24	24	12	24	24	24	24	12	12	12	12	24	24	24	12	24	12	12	12	9	9	9	9	9	12	9	9	9	9	9	9	9	9	9	9	9	9	9	28	9	9	10	24	22	12	24	24	24	24	24	22	24	24	24	24	24	24	24	24	24	24	24	24	24	22	22	12	12	9	10	9	9	9	9	9	16	22	22	28	28	12	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	
24	24	24	24	24	24	12	24	7	7	7	24	16	12	24	24	12	12	12	24	24	24	24	24	24	24	24	12	24	24	12	24	24	24	22	22	24	24	24	24	24	24	22	24	24	24	22	24	12	24	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	28	28	12	12	12	12	12	24	12	12	12	12	16	12	12	12	24	22	12	12	24	24	12	12	12	12	12	22	22	24	12	12	9	9	9	9	8	14	12	12	24	12	24	24	24	24	24	24	24	12	12	24	12	12	24	12	16	16	15	12	12	
24	16	12	8	8	8	15	12	16	16	16	8	24	12	8	15	13	12	12	16	16	16	16	16	12	12	12	12	12	12	12	12	15	12	16	8	8	15	12	24	24	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	22	12	9	12	12	12	12	16	12	24	24	16	24	12	12	16	24	24	24	22	22	22	22	9	9	9	9	9	9	9	9	9	9	9	9	9	9	22	22	24	24	22	24	24	24	24	24	12	12	12	24	12	12	24	24	24	12	12	24	24	24	24	24	
15	16	28	28	28	18	12	12	9	9	9	9	16	16	12	16	9	9	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	16	12	12	12	24	24	8	24	12	1	1	6	5	9	9	9	9	9	22	12	9	9	9	9	16	9	16	16	16	16	16	16	24	24	12	24	24	12	24	12	24	24	24	24	12	24	24	24	24	24	24	24	24	24	12	24	24	24	24	24	12	16	24	24	12	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	12	12	24	22	12	15	15	15	8	24	8	8	9	
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	16	24	22	22	22	22	22	22	22	22	12	12	22	22	12	12	12	22	12	12	24	22	22	22	22	22	22	9	9	14	14	14	14	12	12	20	28	22	22	24	24	12	12	24	24	24	12	22	24	24	12	12	24	24	24	24	24	24	24	24	24	24	24	24	12	12	24	12	12	12	24	24	24	24	24	24	24	24	24	22	22	24	24	24	22	24	24	24	12	24	24	8	24	12	12	24	24	16	12	24	24	24	24	24	24	24	24	24	24	
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	12	12	16	9	9	12	12	9	16	24	12	12	24	24	24	24	24	12	12	24	24	24	24	12	24	12	12	12	22	12	12	12	12	12	12	12	12	12	12	10	12	16	16	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	22	24	22	24	22	22	24	24	22	22	22	24	24	24	24	24	24	22	24	24	9	9	15	15	9	9	9	16	15	16	16	16	16	16	22	24	24	24	24	22	24	24	24	24	22	24	24	12	12	22	24	
24	24	24	24	22	22	22	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	12	24	24	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	12	12	12	12	12	12	12	22	24	24	24	24	24	24	24	22	22	12	12	24	24	12	12	12	12	12	12	9	12	12	12	12	12	12	12	12	12	24	16	24	24	24	24	24	12	24	24	24	24	12	12	12	12	24	24	24	24	24	12	12	12	12	24	24	12	12	24	24	24	24	12	24	24	24	
12	12	12	12	24	12	12	12	12	12	12	12	12	24	24	12	12	24	12	24	24	12	12	24	24	24	24	24	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	12	12	12	12	12	9	9	12	12	12	12	12	12	16	24	24	12	12	16	9	12	12	13	12	9	9	9	9	9	22	24	12	24	24	12	22	24	22	24	24	24	24	24	24	24	24	24	24	12	24	12	12	24	12	12	12	24	24	24	24	24	24	24	24	24	24	24	12	12	24	24	24	12	12	12	24	24	24	16	
12	24	12	12	24	12	12	8	24	24	24	16	16	24	12	12	16	12	12	12	12	12	12	24	24	12	12	12	9	9	9	9	9	9	9	9	9	28	22	9	9	9	9	9	9	9	9	9	12	12	12	12	12	12	12	12	12	12	16	12	12	12	12	12	12	24	24	24	24	12	12	12	24	12	12	9	9	9	9	9	9	9	9	9	12	12	24	22	24	24	24	22	24	24	24	24	24	12	12	24	12	24	24	12	12	12	24	24	24	24	24	24	24	24	24	24	24	24	24	12	12	12	12	12	24	24	12	12	12	12	
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	24	24	15	12	9	9	9	9	9	9	22	9	9	9	9	22	22	24	24	20	24	24	24	24	24	24	24	24	24	12	9	12	12	24	24	24	24	24	24	24	24	24	24	24	24	12	24	24	24	12	24	24	24	12	16	8	24	24	24	24	12	12	16	16	16	24	16	24	12	12	12	12	12	12	12	12	12	12	24	24	24	24	24	12	12	24	24	
24	24	24	24	24	24	8	24	24	24	24	24	8	8	7	8	24	8	8	8	24	24	24	24	24	24	24	12	7	8	24	24	24	24	24	24	24	24	24	24	24	24	24	22	8	8	7	24	24	24	24	8	8	8	24	22	22	24	24	24	8	8	24	24	24	7	8	8	8	24	24	24	24	24	24	22	24	24	24	24	24	24	24	15	8	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	22	22	22	24	24	24	24	22	22	22	
