28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	20	20	20	9	20	20	22	20	20	20	9	20	24	24	22	22	24	24	24	20	20	20	20	22	24	20	20	10	10	10	24	25	25	20	20	20	20	20	24	20	20	20	20	24	24	24	12	12	12	12	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	12	24	12	16	16	12	12	12	12	12	24	9	10	12	12	12	12	12	12	24	24	24	12	3	3	3	3	3	13	8	8	8	8	
20	20	20	19	19	19	28	28	28	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	24	24	22	22	22	22	22	22	24	32	32	32	32	32	24	20	20	20	20	20	20	20	20	20	20	20	20	24	24	16	16	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	16	12	9	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	32	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	
22	28	28	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24	24	24	20	20	20	20	20	20	20	20	24	20	10	10	10	22	26	26	12	12	24	12	12	12	24	24	12	12	12	12	12	12	12	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	28	12	9	9	9	9	9	9	9	28	28	28	12	12	12	24	24	12	12	12	16	12	24	24	24	24	
10	10	10	10	10	10	10	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24	24	24	24	24	24	24	24	20	24	24	10	10	20	10	28	32	32	24	24	24	24	24	20	20	20	20	24	24	12	12	12	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	13	16	16	16	16	16	12	12	12	12	12	12	24	24	24	12	12	12	12	12	12	24	24	24	24	9	3	3	
28	28	20	20	20	20	20	20	28	28	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	22	24	24	22	20	20	24	24	22	22	22	22	22	22	24	22	22	22	22	22	22	20	22	22	22	22	24	20	20	22	22	24	24	22	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	12	12	12	12	12	12	12	9	13	16	3	3	3	3	3	10	10	8	8	8	8	3	10	9	9	8	10	10	12	24	
10	10	10	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24	24	24	24	20	20	20	20	24	22	24	24	24	24	20	22	22	28	26	24	24	20	24	24	24	24	24	20	24	22	12	12	12	12	12	24	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	16	9	9	9	9	9	9	9	9	9	9	9	9	16	16	22	9	9	9	9	9	3	3	5	3	3	6	10	24	24	8	8	8	8	10	10	10	10	24	
10	10	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24	24	24	24	20	12	24	24	24	24	20	20	20	24	32	32	32	24	24	24	24	24	20	20	20	24	20	20	20	24	24	12	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	16	9	9	9	9	9	16	16	9	12	12	9	10	10	3	3	5	5	5	10	10	10	10	24	22	24	24	10	10	10	10	10	12	24	24	22	22	
10	28	28	28	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	10	24	24	24	20	20	24	24	20	24	22	24	24	24	24	22	22	22	22	22	22	22	20	20	24	20	20	20	20	24	24	24	24	24	12	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	12	16	16	12	12	24	12	12	9	9	16	12	12	8	5	5	5	5	3	3	3	3	9	13	13	9	9	10	10	10	9	10	
10	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24	20	20	24	24	20	20	20	22	22	22	28	32	32	32	25	20	20	20	20	20	20	20	20	20	20	12	12	12	12	16	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	12	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	16	12	12	12	9	9	9	12	12	12	9	9	12	12	16	5	5	5	5	5	8	8	8	8	8	24	24	8	8	24	24	12	
10	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	10	10	10	20	10	28	32	32	32	20	20	20	24	22	22	20	20	20	20	20	22	24	24	24	12	12	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	12	12	9	12	24	24	24	12	12	22	22	12	8	8	9	3	3	3	3	8	8	5	8	8	8	8	8	13	16	24	12	8	
