12	12	12	12	12	12	24	24	24	8	24	12	12	12	12	24	12	12	12	24	16	24	24	24	24	24	24	22	22	22	24	24	24	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	9	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	28	28	9	28	16	24	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	16	10	10	10	10	14	10	10	10	10	10	10	10	10	10	10	10	10	10	9	12	10	10	10	10	9	10	10	10	10	10	12	12	12	10	10	
24	12	24	24	24	12	24	24	24	24	24	24	24	24	24	24	22	22	22	22	22	22	28	28	28	28	28	28	28	28	28	20	28	28	28	28	28	28	28	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	24	10	10	9	16	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	24	24	24	24	24	12	12	12	12	12	12	24	12	12	24	24	12	12	12	12	12	12	32	24	24	16	12	12	12	24	24	24	16	24	8	8	16	16	16	22	22	
12	12	24	24	24	24	24	22	24	24	24	22	22	22	22	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	24	10	10	16	10	9	9	28	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	12	12	10	12	12	12	12	12	12	24	12	12	12	12	12	10	10	10	10	12	12	24	24	10	24	12	12	12	12	24	24	24	
9	9	16	16	28	28	16	15	12	12	12	12	9	10	16	16	16	9	12	12	24	16	15	13	9	16	8	16	16	16	15	15	13	24	9	13	24	22	8	8	9	15	14	24	7	22	22	24	24	22	24	24	22	24	24	24	24	24	24	24	32	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	22	22	9	9	28	28	9	28	9	9	9	9	10	10	10	9	9	9	9	9	10	10	10	10	10	9	9	9	9	9	9	9	10	10	
12	12	24	24	24	24	24	24	24	12	15	12	12	12	12	12	12	24	12	12	12	12	12	12	15	24	24	24	24	24	12	8	7	8	12	12	16	12	12	8	15	15	12	24	24	12	12	12	12	12	24	24	24	24	24	24	24	24	24	24	24	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	16	16	16	16	28	16	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	15	
24	24	12	12	12	12	12	12	12	12	8	12	14	6	6	12	24	24	24	24	12	24	24	24	24	24	24	24	12	12	24	24	24	24	24	22	22	24	24	24	22	22	24	24	24	22	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	16	16	10	10	16	16	10	24	24	10	10	10	10	10	10	10	10	10	10	10	10	10	16	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	12	12	10	10	9	
24	8	8	24	24	24	24	24	24	22	8	7	7	16	8	24	24	24	24	8	8	6	12	24	22	24	8	15	16	24	24	24	24	12	24	22	24	24	28	28	16	22	22	22	22	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	28	28	28	28	16	16	16	16	16	10	10	24	24	10	10	10	10	10	10	10	10	10	10	10	10	9	6	9	10	10	10	9	9	9	16	14	10	10	24	24	10	10	10	10	10	10	24	24	12	12	12	24	24	
12	32	12	24	24	24	12	24	24	24	12	12	12	24	12	12	12	12	16	12	12	12	24	24	24	24	24	24	24	24	24	24	24	24	24	22	24	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	28	16	16	16	16	9	28	28	28	9	9	28	9	9	10	10	9	9	10	10	10	10	10	10	10	9	9	10	9	9	9	9	9	9	10	10	10	10	10	10	9	10	10	10	10	10	9	10	10	10	10	9	9	12	14	10	10	10	12	10	
24	24	24	24	24	24	24	24	22	22	22	8	8	9	16	9	9	24	24	14	24	24	24	24	24	24	24	24	24	24	24	24	24	12	8	32	24	12	12	24	8	14	9	1	24	15	12	24	24	8	8	5	16	16	12	12	12	16	15	12	24	24	12	12	12	24	24	24	16	15	15	8	24	12	12	12	24	24	24	24	24	24	24	24	24	24	24	24	24	22	22	22	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	22	22	22	
12	24	6	6	15	12	15	15	12	12	12	12	24	24	24	12	12	14	15	12	12	12	24	24	24	24	12	24	12	12	24	24	24	22	24	24	22	28	28	28	28	28	28	28	28	28	28	28	20	28	28	28	28	28	28	28	28	28	28	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	16	24	22	24	24	22	24	24	24	24	16	10	16	24	24	24	8	16	14	16	8	8	8	16	16	15	14	10	24	24	24	14	14	8	14	8	24	12	10	8	8	24	24	24	12	12	24	24	24	24	24	24	12	12	12	
