12	24	24	24	12	24	24	24	24	24	24	24	24	24	12	12	12	12	12	24	24	24	24	24	24	24	24	12	12	24	22	22	9	9	9	9	9	9	9	9	9	9	12	12	12	12	12	12	12	12	16	16	16	16	16	16	9	9	12	12	12	12	12	12	12	12	12	12	12	12	12	12	10	16	16	16	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	11	11	11	12	8	16	16	16	12	12	12	16	12	15	15	6	12	12	12	16	16	16	13	13	12	8	8	8	12	12	8	1	1	
24	12	12	12	12	12	12	12	24	24	24	24	24	24	24	12	24	24	24	24	12	24	24	16	12	12	9	9	9	9	9	9	9	16	16	12	12	12	12	12	12	12	24	24	24	12	12	12	12	12	12	12	12	10	12	12	12	12	12	12	12	12	12	10	10	10	9	9	9	9	16	16	16	15	5	5	5	5	5	5	5	5	5	5	5	5	11	11	11	5	5	5	5	10	10	16	16	12	12	12	12	24	24	24	12	16	16	16	12	12	12	15	12	16	12	16	16	24	12	12	5	1	11	11	11	10	10	11	24	24	
22	24	24	24	24	24	24	24	12	12	12	12	12	12	12	12	12	12	12	12	12	24	24	24	12	12	12	12	12	12	12	12	12	12	24	24	24	12	12	24	24	9	9	9	16	9	9	9	9	9	9	9	9	9	12	16	12	12	12	12	9	12	12	12	12	12	12	12	12	12	12	12	24	12	12	24	12	9	9	12	12	12	12	12	12	16	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	16	12	12	13	13	12	16	16	9	9	12	12	12	16	15	15	12	12	12	12	12	24	
12	24	12	24	12	12	24	24	24	24	12	24	24	16	9	9	9	9	9	9	9	9	9	9	16	16	12	12	16	24	24	24	12	12	12	12	12	24	24	12	12	24	24	24	24	24	12	12	12	9	16	16	16	16	16	16	16	16	9	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	13	5	5	9	9	9	16	12	12	12	12	12	12	10	12	12	12	8	12	13	9	9	24	24	12	24	24	24	24	24	8	8	2	3	8	8	24	24	24	24	24	24	24	24	24	8	8	24	12	16	8	8	
24	24	22	12	12	24	24	24	24	24	12	24	24	24	24	24	12	24	24	24	24	24	24	12	24	24	24	24	12	12	24	24	24	24	16	16	9	9	9	9	9	9	9	9	9	9	9	9	9	12	12	12	12	24	12	12	12	12	24	24	24	12	12	24	24	16	12	24	24	24	12	12	16	16	16	16	16	16	16	16	16	9	9	9	9	13	13	13	13	13	5	13	5	5	5	5	5	5	5	5	5	16	9	9	16	15	13	9	12	12	12	12	12	12	16	12	12	12	12	24	12	12	24	24	12	12	12	12	12	24	
12	24	24	24	12	12	24	24	24	24	24	24	12	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	16	12	24	24	12	22	24	24	12	12	13	12	12	12	12	12	12	16	16	16	16	9	16	16	16	13	13	13	13	13	13	13	13	13	13	5	5	5	5	5	5	5	5	5	5	13	5	5	5	5	16	13	13	12	12	12	12	12	15	12	12	12	12	12	12	12	16	12	12	12	24	16	24	24	12	12	12	12	12	12	13	5	8	8	8	13	8	8	13	13	24	24	24	24	24	12	
12	24	24	24	12	12	12	12	12	24	24	12	12	12	24	24	12	24	24	16	16	12	24	24	24	24	12	12	12	24	24	24	24	24	24	12	12	12	24	24	12	12	24	16	16	9	9	9	9	9	9	9	9	9	16	16	12	12	12	12	12	32	12	12	16	16	12	12	12	12	12	24	12	12	16	12	12	12	16	16	16	16	16	16	16	16	16	16	9	5	9	13	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	13	13	13	9	9	9	9	9	9	16	16	12	12	12	9	15	16	12	12	24	8	8	8	
24	12	12	12	12	12	12	12	24	12	12	24	24	24	24	24	24	24	24	12	12	12	12	24	24	16	16	9	9	9	9	9	9	9	9	9	9	16	9	12	12	12	24	12	12	12	12	12	12	16	12	12	12	12	12	12	12	12	12	24	12	12	12	9	12	16	16	16	16	16	9	9	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	9	9	9	16	12	16	16	12	9	5	6	6	12	15	16	16	12	12	12	12	12	12	10	9	12	12	12	12	12	12	15	8	3	
24	24	12	12	12	12	24	24	24	24	24	24	24	24	16	15	12	12	12	24	16	12	12	24	24	24	12	12	12	12	12	12	12	12	12	12	12	24	24	24	24	24	24	24	12	12	12	24	22	12	12	12	12	12	16	9	9	9	9	9	9	9	9	9	9	9	9	9	12	24	24	12	12	12	16	24	24	24	24	24	12	12	24	24	16	16	12	12	24	12	12	16	16	16	16	16	16	16	16	5	5	5	5	3	16	5	5	5	5	5	5	5	9	5	5	9	9	9	9	9	9	16	9	9	9	9	16	16	16	16	
24	24	12	12	12	12	24	24	22	24	24	24	24	12	24	12	12	24	24	24	12	9	9	9	9	9	9	9	9	9	9	9	9	9	12	12	12	24	24	24	24	24	24	24	24	24	24	24	12	12	12	12	12	12	24	24	12	16	16	16	16	16	16	16	16	9	9	5	5	5	5	5	5	5	3	3	3	3	5	3	5	3	3	3	3	3	3	5	5	5	3	16	12	12	12	12	12	24	24	8	12	12	12	12	5	9	9	22	12	12	9	22	22	22	22	12	22	9	9	9	25	12	12	12	9	12	12	12	12	13	
